case,family,root,phase,mechanics,replay_equal,cross_mechanics_equal,checks_pass,failed,cell_proposals,arrow_proposals,cell_updates,arrow_updates,cell_deallocations,arrow_deallocations,physical_work,trace_len,final_tick,naturally_quiescent,body_hash,markers
14,gate_d_orphan_cleanup_reuse,7500000,2,reference,true,true,true,,2,4,0,0,2,4,17,20,12,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
14,gate_d_orphan_cleanup_reuse,7500000,2,production,true,true,true,,2,4,0,0,2,4,17,20,12,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
15,gate_e_positive_consequence,7500000,2,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,12,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
15,gate_e_positive_consequence,7500000,2,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,12,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
16,gate_a_sign_symmetry,7500000,3,reference,true,true,true,,2,4,0,0,0,0,11,14,5,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
16,gate_a_sign_symmetry,7500000,3,production,true,true,true,,2,4,0,0,0,0,11,14,5,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
17,gate_b_no_consequence,7500000,3,reference,true,true,true,,2,4,0,0,2,4,17,20,13,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
17,gate_b_no_consequence,7500000,3,production,true,true,true,,2,4,0,0,2,4,17,20,13,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
18,gate_c_bounded_creation,7500000,3,reference,true,true,true,,2,4,0,0,2,4,35,50,13,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
18,gate_c_bounded_creation,7500000,3,production,true,true,true,,2,4,0,0,2,4,35,50,13,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
19,gate_d_orphan_cleanup_reuse,7500000,3,reference,true,true,true,,2,4,0,0,2,4,17,20,13,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
19,gate_d_orphan_cleanup_reuse,7500000,3,production,true,true,true,,2,4,0,0,2,4,17,20,13,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
20,gate_e_positive_consequence,7500000,3,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,13,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
20,gate_e_positive_consequence,7500000,3,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,13,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
21,gate_a_sign_symmetry,7500000,4,reference,true,true,true,,2,4,0,0,0,0,11,14,6,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
21,gate_a_sign_symmetry,7500000,4,production,true,true,true,,2,4,0,0,0,0,11,14,6,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
22,gate_b_no_consequence,7500000,4,reference,true,true,true,,2,4,0,0,2,4,17,20,14,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
22,gate_b_no_consequence,7500000,4,production,true,true,true,,2,4,0,0,2,4,17,20,14,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
23,gate_c_bounded_creation,7500000,4,reference,true,true,true,,2,4,0,0,2,4,35,50,14,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
23,gate_c_bounded_creation,7500000,4,production,true,true,true,,2,4,0,0,2,4,35,50,14,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
24,gate_d_orphan_cleanup_reuse,7500000,4,reference,true,true,true,,2,4,0,0,2,4,17,20,14,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
24,gate_d_orphan_cleanup_reuse,7500000,4,production,true,true,true,,2,4,0,0,2,4,17,20,14,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
25,gate_e_positive_consequence,7500000,4,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,14,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
25,gate_e_positive_consequence,7500000,4,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,14,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
26,gate_a_sign_symmetry,7500000,5,reference,true,true,true,,2,4,0,0,0,0,11,14,7,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
26,gate_a_sign_symmetry,7500000,5,production,true,true,true,,2,4,0,0,0,0,11,14,7,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
27,gate_b_no_consequence,7500000,5,reference,true,true,true,,2,4,0,0,2,4,17,20,15,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
27,gate_b_no_consequence,7500000,5,production,true,true,true,,2,4,0,0,2,4,17,20,15,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
28,gate_c_bounded_creation,7500000,5,reference,true,true,true,,2,4,0,0,2,4,35,50,15,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
28,gate_c_bounded_creation,7500000,5,production,true,true,true,,2,4,0,0,2,4,35,50,15,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
29,gate_d_orphan_cleanup_reuse,7500000,5,reference,true,true,true,,2,4,0,0,2,4,17,20,15,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
29,gate_d_orphan_cleanup_reuse,7500000,5,production,true,true,true,,2,4,0,0,2,4,17,20,15,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
30,gate_e_positive_consequence,7500000,5,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,15,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
30,gate_e_positive_consequence,7500000,5,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,15,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
31,gate_a_sign_symmetry,7500000,6,reference,true,true,true,,2,4,0,0,0,0,11,14,8,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
31,gate_a_sign_symmetry,7500000,6,production,true,true,true,,2,4,0,0,0,0,11,14,8,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
32,gate_b_no_consequence,7500000,6,reference,true,true,true,,2,4,0,0,2,4,17,20,16,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
32,gate_b_no_consequence,7500000,6,production,true,true,true,,2,4,0,0,2,4,17,20,16,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
33,gate_c_bounded_creation,7500000,6,reference,true,true,true,,2,4,0,0,2,4,35,50,16,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
33,gate_c_bounded_creation,7500000,6,production,true,true,true,,2,4,0,0,2,4,35,50,16,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
34,gate_d_orphan_cleanup_reuse,7500000,6,reference,true,true,true,,2,4,0,0,2,4,17,20,16,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
34,gate_d_orphan_cleanup_reuse,7500000,6,production,true,true,true,,2,4,0,0,2,4,17,20,16,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
35,gate_e_positive_consequence,7500000,6,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,16,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
35,gate_e_positive_consequence,7500000,6,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,16,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
36,gate_a_sign_symmetry,7500000,7,reference,true,true,true,,2,4,0,0,0,0,11,14,9,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
36,gate_a_sign_symmetry,7500000,7,production,true,true,true,,2,4,0,0,0,0,11,14,9,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
37,gate_b_no_consequence,7500000,7,reference,true,true,true,,2,4,0,0,2,4,17,20,17,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
37,gate_b_no_consequence,7500000,7,production,true,true,true,,2,4,0,0,2,4,17,20,17,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
38,gate_c_bounded_creation,7500000,7,reference,true,true,true,,2,4,0,0,2,4,35,50,17,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
38,gate_c_bounded_creation,7500000,7,production,true,true,true,,2,4,0,0,2,4,35,50,17,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
39,gate_d_orphan_cleanup_reuse,7500000,7,reference,true,true,true,,2,4,0,0,2,4,17,20,17,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
39,gate_d_orphan_cleanup_reuse,7500000,7,production,true,true,true,,2,4,0,0,2,4,17,20,17,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
40,gate_e_positive_consequence,7500000,7,reference,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,17,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
40,gate_e_positive_consequence,7500000,7,production,true,true,false,positive_stem_consolidated|positive_relation_remains_executable,2,4,1,1,1,3,19,23,17,true,14b9ecb88137fda9d08a79d7d125395cb82ce95c3dd9f1471e6aea78fb48d274,positive_r=cellSome(4)/stemSome(1)/outSome(4);negative_r=cellSome(1)/outSome(1);live10=positive(true; false; true)/negative(false; false; false)
41,gate_a_sign_symmetry,7500000,8,reference,true,true,true,,2,4,0,0,0,0,11,14,10,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
41,gate_a_sign_symmetry,7500000,8,production,true,true,true,,2,4,0,0,0,0,11,14,10,true,26586b706a6e907aa657aa9b28b72ab811d6620b4125623ca266dac0447dae1f,negative=CellId(2)/CellSlot(2);positive=CellId(3)/CellSlot(3)
42,gate_b_no_consequence,7500000,8,reference,true,true,true,,2,4,0,0,2,4,17,20,18,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
42,gate_b_no_consequence,7500000,8,production,true,true,true,,2,4,0,0,2,4,17,20,18,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,negative_live=(false; false; false);positive_live=(false; false; false)
43,gate_c_bounded_creation,7500000,8,reference,true,true,true,,2,4,0,0,2,4,35,50,18,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
43,gate_c_bounded_creation,7500000,8,production,true,true,true,,2,4,0,0,2,4,35,50,18,true,b8e599135ec68e37de338a51db93c6d68e5c72ad86c0d8e6a3d37003f5f74348,proposals=(2; 4)
44,gate_d_orphan_cleanup_reuse,7500000,8,reference,true,true,true,,2,4,0,0,2,4,17,20,18,true,24f65743983cb00a9a3c1fa74888d681b6417138ca3576c9cd654b0c9448ab96,cell_slots=[CellSlot(2); CellSlot(3)]->[CellSlot(2); CellSlot(3)];arrow_slots=[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]->[Some(ArrowSlot(0)); Some(ArrowSlot(1)); Some(ArrowSlot(2)); Some(ArrowSlot(3))]
