case,family,root,phase,mechanics,replay_equal,cross_equal,renaming_equal,checks_pass,failed,quiescent,ceiling,physical_work,updates,proposals,cell_proposals,arrow_deallocations,cell_deallocations,normalized_trace_len,final_tick,normalized_trace_hash,raw_trace_hash,normalized_body_hash,raw_body_hash,live_hash,pending_continuation_hash,admitted_continuation_hash,markers
10,learned_negative_stabilizes,8100000,1,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,15,fdeb7ddc84ffa628966c8e21aa356dc195dcfcb75d372fd15d02a0ffd1138248,c27bbe1e84f2a862da58270bfab9e93c724d653819c8b8743cd5896098354540,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,bf95f00eac8569b0ed375bf182914cef60886e900aa042224491c26dabe651af,49f6b64813e82fe74edf71955153fb941c439851ae4d93fcd4b6ef5ec9cd11ee,022cfe84a25bff63561c3d1d28b90eeaf212d2c5b5ec062324a45aff64e16038,f508bdf560e70fb0ab7387d594db9a7d8f858a9c1312dc61ccc140ee45e6db71,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
11,no_modulation_no_selection,8100000,1,reference,true,true,true,false,uninhibited_recurrence_persists,false,false,92,0,8,4,8,4,45,52,9da4c1c38746f6190cc70d53c6b411be8a928401405a6a8174ce64dd2fed7a1e,d02142479997b154f5ac5cd8b73fdc1fba205f01929c8e61495c7ada82a49983,28e980a2af28a4845f75e28b5b73e8d9e878ebbb60b6d446efdec1249e0563cc,9c455ae357e2ceb2a0ab89eecb949f45711abccbbfda9b11e7e03279a829df25,51ffad9f2e8d797ad4a22876fa8d70723d11b2b594412998ce6b349d9aa678b3,51293a4a0feaf388b87172cb23da8066974c7ed9feb03a0c32bae0c572e812cf,befa8cd28784c0c6827005ff546b50648a090ad5d605deda5927e7806ba2a836,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=false
11,no_modulation_no_selection,8100000,1,production,true,true,true,false,uninhibited_recurrence_persists,false,false,92,0,8,4,8,4,45,52,9da4c1c38746f6190cc70d53c6b411be8a928401405a6a8174ce64dd2fed7a1e,d02142479997b154f5ac5cd8b73fdc1fba205f01929c8e61495c7ada82a49983,28e980a2af28a4845f75e28b5b73e8d9e878ebbb60b6d446efdec1249e0563cc,9c455ae357e2ceb2a0ab89eecb949f45711abccbbfda9b11e7e03279a829df25,ecde2400b9a7ce1c6a3e5dbf3475b79b5b2022384c074651271cd3ad1d467a4a,51293a4a0feaf388b87172cb23da8066974c7ed9feb03a0c32bae0c572e812cf,befa8cd28784c0c6827005ff546b50648a090ad5d605deda5927e7806ba2a836,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=false
12,candidate_identity_sign_order_permutation,8100000,1,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,15,fdeb7ddc84ffa628966c8e21aa356dc195dcfcb75d372fd15d02a0ffd1138248,5e4da3d1f5940006146e5a6b4004c54d1f77b2b61f27bddecf2ec824dc23248a,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,0c23f90f2c37a2e5f715b32deb0388334458ac85e5d7ddec491fb42fd1cdf781,56cfaf4a314b87007b0c4270e5e41bb88ab406157a3e3aba1c854ee446f3a79f,022cfe84a25bff63561c3d1d28b90eeaf212d2c5b5ec062324a45aff64e16038,f508bdf560e70fb0ab7387d594db9a7d8f858a9c1312dc61ccc140ee45e6db71,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
12,candidate_identity_sign_order_permutation,8100000,1,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,15,fdeb7ddc84ffa628966c8e21aa356dc195dcfcb75d372fd15d02a0ffd1138248,5e4da3d1f5940006146e5a6b4004c54d1f77b2b61f27bddecf2ec824dc23248a,37db9672927632193e907373693b15b175b16beb49e7935710e4eba81d72deec,0c23f90f2c37a2e5f715b32deb0388334458ac85e5d7ddec491fb42fd1cdf781,6d3b10b45b2f2abefb12f15bf15325a13c14d5d153852748ac2c66d39452481d,022cfe84a25bff63561c3d1d28b90eeaf212d2c5b5ec062324a45aff64e16038,f508bdf560e70fb0ab7387d594db9a7d8f858a9c1312dc61ccc140ee45e6db71,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
13,inhibitory_location_permutation,8100000,1,reference,true,true,true,true,,true,false,46,2,12,6,2,1,10,15,fdeb7ddc84ffa628966c8e21aa356dc195dcfcb75d372fd15d02a0ffd1138248,c27bbe1e84f2a862da58270bfab9e93c724d653819c8b8743cd5896098354540,4878bd4e2485209e051b2d840f70ef04262afa2005a27850af856c745d67fe65,61979003dba20d495ac6b373875aaf18088b61215f4ef771734c07c86bcb96cb,a58cb6732eb25a02f562b35f69d345e5146f3ab2b3de192482b1543d9a2a0698,30e19482296c07a4b54a69d5b118febbdd83ff96858afcf921a0498620df9df1,3687c16c556d3c73ed87e68d573b3cab0ea12c83cd6500169270ed002c7ac356,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
13,inhibitory_location_permutation,8100000,1,production,true,true,true,true,,true,false,46,2,12,6,2,1,10,15,fdeb7ddc84ffa628966c8e21aa356dc195dcfcb75d372fd15d02a0ffd1138248,c27bbe1e84f2a862da58270bfab9e93c724d653819c8b8743cd5896098354540,4878bd4e2485209e051b2d840f70ef04262afa2005a27850af856c745d67fe65,61979003dba20d495ac6b373875aaf18088b61215f4ef771734c07c86bcb96cb,8e0712083ed0e28f65495458e4b6a0023870f6b51e5ca2272ef22b8995b4c55f,30e19482296c07a4b54a69d5b118febbdd83ff96858afcf921a0498620df9df1,3687c16c556d3c73ed87e68d573b3cab0ea12c83cd6500169270ed002c7ac356,selected_sign=-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
14,irrelevant_negative_not_retained,8100000,1,reference,true,true,true,true,,true,false,72,2,20,10,6,3,10,15,992af629cb4b7155bc4e47cf6121d066624c848885c93c4c402cf48e7c7c6370,b4c831ff9fd7733042aaeb7d4de326e994fd0bc6d82e11b30ea5d0aa2ea05e1c,1bf39bd9ee7963252f0cade8c89ef649b3d4e6462c0ceef2858a159e8c82a13c,41e1922c3cb361b2033ddf473cd034cd05dcd7cc52fe045617fb20a6890688db,a5d960c3a503f3a9edda7a005724c2bee87d2ed48fb8255d329426676c4e51bd,116fb1b9630e0eb9f128dfa100c12ed530fc870941531196740481b2419b5f4a,39f0d2f93c19a17a2733d86d4708e622b08c6ec682494a58bca4ac8ab6edffd2,useful_live=true;others_gone=true;fires=1/1
14,irrelevant_negative_not_retained,8100000,1,production,true,true,true,true,,true,false,72,2,20,10,6,3,10,15,992af629cb4b7155bc4e47cf6121d066624c848885c93c4c402cf48e7c7c6370,cb404b3d769f44d42213b8f4f0701cc3f330bfab5d2d12088eb4752212a958e2,1bf39bd9ee7963252f0cade8c89ef649b3d4e6462c0ceef2858a159e8c82a13c,41e1922c3cb361b2033ddf473cd034cd05dcd7cc52fe045617fb20a6890688db,a6d953b86458a5f3562e76227d346e123f6ddd6b1212d0346dbba726f3c84a6e,116fb1b9630e0eb9f128dfa100c12ed530fc870941531196740481b2419b5f4a,39f0d2f93c19a17a2733d86d4708e622b08c6ec682494a58bca4ac8ab6edffd2,useful_live=true;others_gone=true;fires=1/1
15,useful_positive_selection_control,8100000,1,reference,true,true,true,false,positive_relation_reexecutes,true,false,21,2,4,2,2,1,7,13,688ebdb347b5d036611d4e888544485279df9c715533016162c8af5a07778c68,0e360d4d0301ccbaa78cdf5e9dc4c9fe2071fa3519b49a8dc5039af7414fbfdf,126b33b01ff68418561c5387c414a25b5062b294079cce057fb87a78506a0073,c70344d84696005679ff8610446d4b2d5c2c728800fd2a5e5928f8770214de13,a74fd5ef833c633e63108724ef867d2d4c26a5dce79f214666d68a76e00ee766,8dc527e02e35039a539fbca998e933d4d9d327dbbc59dd1f66eea4d791dff8cf,c97a02686ddb36427742c540b81d96b82fb3a5ed9aa7e822c4b1635b0517ff68,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=0->0;anchors=[Some(500); Some(500)]
15,useful_positive_selection_control,8100000,1,production,true,true,true,false,positive_relation_reexecutes,true,false,21,2,4,2,2,1,7,13,688ebdb347b5d036611d4e888544485279df9c715533016162c8af5a07778c68,0e360d4d0301ccbaa78cdf5e9dc4c9fe2071fa3519b49a8dc5039af7414fbfdf,126b33b01ff68418561c5387c414a25b5062b294079cce057fb87a78506a0073,c70344d84696005679ff8610446d4b2d5c2c728800fd2a5e5928f8770214de13,f11c684b09e413778a5a93f72d577b12d9551a17ab787f1aaba85512be9cc557,8dc527e02e35039a539fbca998e933d4d9d327dbbc59dd1f66eea4d791dff8cf,c97a02686ddb36427742c540b81d96b82fb3a5ed9aa7e822c4b1635b0517ff68,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=0->0;anchors=[Some(500); Some(500)]
16,learned_negative_disconnected,8100000,1,reference,true,true,true,true,,false,true,128,2,20,10,18,9,24,27,5122c0f17dd8d697f96503ca27f64ff5fdc7a61a587bd762a836ca1fb6ec9b94,89ff779bed18f2306f5847f78f139ba79e5aa0f67a96a13687cb278d4ba7ab1d,ec80c8cc82b23cc5f44b9069d804d8da9e577b0b4573f5fd860335bfbccae663,da7801972eeae459c0a8a849b614cd7b85cc0a0a7338c0e060b0a141caa4c7b6,3f72eb40bfa14444b0e0613052d2dbe60b6af7dc63c79a9cb3e28aaeb8c8be16,9f1d31b4cd88d04f23a68f651265ae70e208cf43741b7ffe20c6b7120d5cab6b,6968952e74a5791305f8119648b60716a7702d60d86e535c6110b7d2c1d414b0,disconnected=true;ceiling=true
16,learned_negative_disconnected,8100000,1,production,true,true,true,true,,false,true,128,2,20,10,18,9,24,27,5122c0f17dd8d697f96503ca27f64ff5fdc7a61a587bd762a836ca1fb6ec9b94,89ff779bed18f2306f5847f78f139ba79e5aa0f67a96a13687cb278d4ba7ab1d,ec80c8cc82b23cc5f44b9069d804d8da9e577b0b4573f5fd860335bfbccae663,da7801972eeae459c0a8a849b614cd7b85cc0a0a7338c0e060b0a141caa4c7b6,13c2972a1f02f8ce721556a659ff0e72442aba76d5159731be9ad5dfa2fba237,9f1d31b4cd88d04f23a68f651265ae70e208cf43741b7ffe20c6b7120d5cab6b,6968952e74a5791305f8119648b60716a7702d60d86e535c6110b7d2c1d414b0,disconnected=true;ceiling=true
17,learned_negative_not_traversed,8100000,1,reference,true,true,true,true,,false,true,112,2,16,8,14,7,26,32,c6e37d87d3887096821663ff17c8c1f9908f759d3016b2b82f0d2ad2ffa7daf6,b30d23808b475c7db72f46f09b6ebd5509801275261f8ec41e9d692e64984491,567aea037038958c175d6a0bf72f38167ddcd9ce25da9462f353dbd6e23249db,e18ccd772783993ea9155f1569a0700beaea73613fb15c9ae6a8d0639d3b7049,d3ba1e105226283e4e3919a7479b6c3bfedc5b604d35605c056eac1bbbfe2e01,79cf8ff2ca77c69a3c5770f82dc5fdfbe10466f7db76c23dd518543ebd307fff,88d597376ce598bc631df10c579b2ceaac3b3045a8eeebcf78f2e4590b6c2943,contact_fires=0
17,learned_negative_not_traversed,8100000,1,production,true,true,true,true,,false,true,112,2,16,8,14,7,26,32,c6e37d87d3887096821663ff17c8c1f9908f759d3016b2b82f0d2ad2ffa7daf6,b30d23808b475c7db72f46f09b6ebd5509801275261f8ec41e9d692e64984491,567aea037038958c175d6a0bf72f38167ddcd9ce25da9462f353dbd6e23249db,e18ccd772783993ea9155f1569a0700beaea73613fb15c9ae6a8d0639d3b7049,f1b0f4250b7f85fe93117ae51365f81ec58479057a77a98a1258806222011681,79cf8ff2ca77c69a3c5770f82dc5fdfbe10466f7db76c23dd518543ebd307fff,88d597376ce598bc631df10c579b2ceaac3b3045a8eeebcf78f2e4590b6c2943,contact_fires=0
