case,family,root,phase,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,ceiling,physical_work,updates,proposals,cell_proposals,arrow_deallocations,cell_deallocations,trace_len,final_tick,body_hash,live_hash,markers
6,useful_positive_selection_control,8100000,0,production,true,false,true,,true,false,21,2,4,2,2,1,27,12,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,c274c101d132c99dbbf8282504e16d470951198b0df7f258d7e0bd002796c652,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
7,learned_negative_disconnected,8100000,0,reference,true,false,true,,false,true,128,2,20,10,18,9,172,26,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,6d173020467d5b3a78fc6ee0358acf67ef9e949c1802158bf4aee78b3d86ca9f,disconnected=true;ceiling=true
7,learned_negative_disconnected,8100000,0,production,true,false,true,,false,true,128,2,20,10,18,9,172,26,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,7c3074cd912b91a3f5499fb23e776b9c81c18a430a5592e24cdd04df34fea8f1,disconnected=true;ceiling=true
8,learned_negative_not_traversed,8100000,0,reference,true,false,true,,false,true,112,2,16,8,14,7,156,31,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,ae475be38e33d2baebdd11df7ad39cd70589468a8d0c94e00c0de1b37f166f85,contact_fires=0
8,learned_negative_not_traversed,8100000,0,production,true,false,true,,false,true,112,2,16,8,14,7,156,31,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,6e5ac3d08faf9df6b4ad53aa016ec0e87a939899f8fb7a4392b88d9c1c31c617,contact_fires=0
9,fresh_recurrence_packing,8100000,0,reference,true,false,true,,true,false,46,2,12,6,2,1,59,14,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,90122d8fe74c1345fa9c6a9709ff3e0f775a30625f3dbbff01dccf7868d4cfb8,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
9,fresh_recurrence_packing,8100000,0,production,true,false,true,,true,false,46,2,12,6,2,1,59,14,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,935ec5ca9db54af8f18348d0f43db0cee99452e3e68e7e9bc832bc7144d0df45,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
10,learned_negative_stabilizes,8100000,1,reference,true,false,true,,true,false,46,2,12,6,2,1,59,15,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,64d0dfd9ff6a3b1dca85c6332f2ab564bc077300ee82bcfcf00bc051b5e32553,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
10,learned_negative_stabilizes,8100000,1,production,true,false,true,,true,false,46,2,12,6,2,1,59,15,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,dba905cc1305d3fa7cae97b6593d4a238706926b02b849dac159820374bfefd9,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
11,no_modulation_no_selection,8100000,1,reference,true,false,true,,false,true,91,0,8,4,8,4,141,52,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,6832dd1136531389fd827776922d05eb70bba9fd306c4acd5eccbced3bb35e17,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
11,no_modulation_no_selection,8100000,1,production,true,false,true,,false,true,91,0,8,4,8,4,141,52,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,ada17474c5778412c6552e81fc145b148f59be3b2708cc8a5d769e3da905dc60,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
12,candidate_identity_sign_order_permutation,8100000,1,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,15,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,1596e83b3247b614ce5b6df241b80fe0f0af84487db7a445c4de29f25900ff1e,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
12,candidate_identity_sign_order_permutation,8100000,1,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,15,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,9ca6f912bf3a47f8f8b545cc8c05a1b2e7e45270b23fa1a16d99cacb9f63f255,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
13,inhibitory_location_permutation,8100000,1,reference,true,false,true,,true,false,46,2,12,6,2,1,59,15,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,86b175e926be180ba01c4d9cc8702c1795d646338c0878763fdbc39136d0c52b,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
13,inhibitory_location_permutation,8100000,1,production,true,false,true,,true,false,46,2,12,6,2,1,59,15,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,993165b0ac35ef17c9207058074d4394eb2ec360b51a71362d5d00e8a455bdae,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
14,irrelevant_negative_not_retained,8100000,1,reference,true,false,true,,true,false,72,2,20,10,6,3,89,15,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,5b8c49da23f8f76319eef3c2efbbeea86f82e2acee903557a6b2dba5d7b94bef,useful_live=true;others_gone=true;fires=1/1
14,irrelevant_negative_not_retained,8100000,1,production,true,false,true,,true,false,72,2,20,10,6,3,89,15,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,d33790421890f0e73658b9b671a2ab72510de53e13699fe1145a3fef26eb32ef,useful_live=true;others_gone=true;fires=1/1
15,useful_positive_selection_control,8100000,1,reference,true,false,true,,true,false,21,2,4,2,2,1,27,13,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,b833b7f965f8c7d2e832cc87288bd045df642b9e5fe1a4c234cfd373fb0da3df,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
15,useful_positive_selection_control,8100000,1,production,true,false,true,,true,false,21,2,4,2,2,1,27,13,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,bc0c0aab32c18a711cf77bc5a9798a7c989568defdc8d9400d07ae92a0ec2f34,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
16,learned_negative_disconnected,8100000,1,reference,true,false,true,,false,true,128,2,20,10,18,9,172,27,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,682b11c30069213074eee4ac78a572f78a17e594a64dc97b2e47798c2fb22d84,disconnected=true;ceiling=true
16,learned_negative_disconnected,8100000,1,production,true,false,true,,false,true,128,2,20,10,18,9,172,27,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,bc36748554900bb466974b9291b347d423babac57b797da1678b7a2f733eaddd,disconnected=true;ceiling=true
17,learned_negative_not_traversed,8100000,1,reference,true,false,true,,false,true,112,2,16,8,14,7,156,32,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,b98a779fa1ff62eb0495e21a41275dade476bf5540d42f593c7bbcd8f0b919f5,contact_fires=0
17,learned_negative_not_traversed,8100000,1,production,true,false,true,,false,true,112,2,16,8,14,7,156,32,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,de8bf47644da025553c17bf2f458997ba10fa4cd6653d44c24ef3ff5651781ab,contact_fires=0
18,fresh_recurrence_packing,8100000,1,reference,true,false,true,,true,false,46,2,12,6,2,1,59,15,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,ed5b576babf36d13fcabf0c5a82bf5f4f132e4a6788ae84826b6a129d95dd270,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
18,fresh_recurrence_packing,8100000,1,production,true,false,true,,true,false,46,2,12,6,2,1,59,15,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,59538795d93a7ccaabc87b3e59dcfb1ca8f2540c8b90abd3a3dc1c2557948687,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
19,learned_negative_stabilizes,8100000,2,reference,true,false,true,,true,false,46,2,12,6,2,1,59,16,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,bfb95cf9a8fe96aba89c3bd7848bff5519e06e74db2dc40860350171add0e5e5,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
19,learned_negative_stabilizes,8100000,2,production,true,false,true,,true,false,46,2,12,6,2,1,59,16,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,17400f093c1da6cc92821d5e06646b4f991e4d09df1e26e9f5be716f1fe44b52,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
20,no_modulation_no_selection,8100000,2,reference,true,false,true,,false,true,91,0,8,4,8,4,141,53,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,d9bab59e3808b23359df0c436545e514f197241a7c6089154ef341a8d3462cca,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
20,no_modulation_no_selection,8100000,2,production,true,false,true,,false,true,91,0,8,4,8,4,141,53,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,1a7ecdbfe54e15dc1fd9b15494e77deb615f758487b0aa60dd84ba4ea006cafa,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
21,candidate_identity_sign_order_permutation,8100000,2,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,16,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,ed7dfb538518bd6e464de9e2c76240f6142ae27ece8b3ff8175216da7cefd140,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
21,candidate_identity_sign_order_permutation,8100000,2,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,16,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,61438b122edff6b7077bbe7fb36144a24473d7249a2daf806808fa6bbfa8cc7f,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
22,inhibitory_location_permutation,8100000,2,reference,true,false,true,,true,false,46,2,12,6,2,1,59,16,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,9a0ca89747d7a6508261a89a98a7e7b927aa414f95ff72c2b38dd9eee23ec1a0,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
22,inhibitory_location_permutation,8100000,2,production,true,false,true,,true,false,46,2,12,6,2,1,59,16,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,b1a3c818c6399d30c1e2f69668f902b025cea40b1aab0236aa14b05943b761c3,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
23,irrelevant_negative_not_retained,8100000,2,reference,true,false,true,,true,false,72,2,20,10,6,3,89,16,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,60128b081de48577c8f5a7f9b058073e1f178903c6c74e69b0430b0b5f57540c,useful_live=true;others_gone=true;fires=1/1
23,irrelevant_negative_not_retained,8100000,2,production,true,false,true,,true,false,72,2,20,10,6,3,89,16,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,da5c03bd3fddf8d2021c89c538b56c22b5bd8eb00a7a7c6b6e3793cde9052078,useful_live=true;others_gone=true;fires=1/1
24,useful_positive_selection_control,8100000,2,reference,true,false,true,,true,false,21,2,4,2,2,1,27,14,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,001ed0d79f79f4e45c6554977b59080e883de64b29ba64d975e704399044cc84,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
24,useful_positive_selection_control,8100000,2,production,true,false,true,,true,false,21,2,4,2,2,1,27,14,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,0662e8d9587f3f1b20a05bc1d3330d021321b0dcdaeed227d0c3aafada8c5c55,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
25,learned_negative_disconnected,8100000,2,reference,true,false,true,,false,true,128,2,20,10,18,9,172,28,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,55a70e0e4ff448f5301df91cda809de6e4b3e25d237dce4b8852cd7eaee4a018,disconnected=true;ceiling=true
25,learned_negative_disconnected,8100000,2,production,true,false,true,,false,true,128,2,20,10,18,9,172,28,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,7425b8a065854282ed26aeaf06daa39d404fb5dae8a9aec3e91cba928039ef6a,disconnected=true;ceiling=true
26,learned_negative_not_traversed,8100000,2,reference,true,false,true,,false,true,112,2,16,8,14,7,156,33,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,115ad85926e6dbfbb6a5cb4da4577bf10df1b20714262d0fd838237937072b00,contact_fires=0
26,learned_negative_not_traversed,8100000,2,production,true,false,true,,false,true,112,2,16,8,14,7,156,33,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,fa9133a13091172f538ab7bff7dd5ada705fcbabd7f3accc2e77401460b465e6,contact_fires=0
27,fresh_recurrence_packing,8100000,2,reference,true,false,true,,true,false,46,2,12,6,2,1,59,16,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,145989d00eeaa2ff44ca446c8eff0fd59d084e1100c07134409c8feceeb15546,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
27,fresh_recurrence_packing,8100000,2,production,true,false,true,,true,false,46,2,12,6,2,1,59,16,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,16773a6c0dc2a9d2dfc4c875233f4ac00132e67c016f71770a364e22e1c294bc,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
28,learned_negative_stabilizes,8100000,3,reference,true,false,true,,true,false,46,2,12,6,2,1,59,17,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,9a7c9bf63d23b17d32c352b2aa41abfa46ae4a79842ca6e269a9d3c55da7929c,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
28,learned_negative_stabilizes,8100000,3,production,true,false,true,,true,false,46,2,12,6,2,1,59,17,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,b30d1130b41d7b447d9bb2ecea88f43d7c8ba3b0246af02ee5c713de4cb0df77,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
29,no_modulation_no_selection,8100000,3,reference,true,false,true,,false,true,91,0,8,4,8,4,141,54,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,51a05036b585d7efb6742dedc61c453329c54659fee2a497ce480874157fd17d,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
29,no_modulation_no_selection,8100000,3,production,true,false,true,,false,true,91,0,8,4,8,4,141,54,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,112bb9b85365a0a9fc51374756ca99a1a3aa4eedf916869e9ddca5e5ce7a3f67,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
30,candidate_identity_sign_order_permutation,8100000,3,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,17,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,e80dd14edd714ecaa86b4e20e4f5f671ab1ef50d95eeee6a8dfd9102bfe6ec16,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
30,candidate_identity_sign_order_permutation,8100000,3,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,17,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,a619b028a3027bdb6053b20a537080c4b8a7ca5096f2eeba3bf5188c96a74ccc,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
31,inhibitory_location_permutation,8100000,3,reference,true,false,true,,true,false,46,2,12,6,2,1,59,17,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,eeb667aeb65343edac21c0c5b583c7f9175a0de2d8e66bf62c1ff43681880597,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
31,inhibitory_location_permutation,8100000,3,production,true,false,true,,true,false,46,2,12,6,2,1,59,17,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,be659250449a3570eac6d5c53815a6ab3504cb237859dae0d0946445f9d96743,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
32,irrelevant_negative_not_retained,8100000,3,reference,true,false,true,,true,false,72,2,20,10,6,3,89,17,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,7050180e48554c0943ff45195a6a54ff6b9eb22298c7bffef1771108130690bd,useful_live=true;others_gone=true;fires=1/1
32,irrelevant_negative_not_retained,8100000,3,production,true,false,true,,true,false,72,2,20,10,6,3,89,17,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,47989c492593471134de7ebb11c60d57a49544aa162f7f1636b4dae681d1eebb,useful_live=true;others_gone=true;fires=1/1
33,useful_positive_selection_control,8100000,3,reference,true,false,true,,true,false,21,2,4,2,2,1,27,15,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,878ad08b297cd4fa7ec8f1fbdccf3ab781b22b9843ffe40890fd782259d1577c,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
33,useful_positive_selection_control,8100000,3,production,true,false,true,,true,false,21,2,4,2,2,1,27,15,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,c1124f7f2a3e6286bdf2ee59651bbc220eabaeacf2b4d53a77e16bc9655a35d8,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
34,learned_negative_disconnected,8100000,3,reference,true,false,true,,false,true,128,2,20,10,18,9,172,29,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,68e44fa3d590a2576535b69975b8a4268c56937cd26af9e86d5e6b33d30b0167,disconnected=true;ceiling=true
34,learned_negative_disconnected,8100000,3,production,true,false,true,,false,true,128,2,20,10,18,9,172,29,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,3c4b9f08a16253d7e92a78501bdc01e60d643b4bb17b478dbd2ed7bd82146cbc,disconnected=true;ceiling=true
35,learned_negative_not_traversed,8100000,3,reference,true,false,true,,false,true,112,2,16,8,14,7,156,34,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,ee9d5f659ebb0eb430b71f203019c718fae959f9b29572e497dfaf89f27b1a0b,contact_fires=0
35,learned_negative_not_traversed,8100000,3,production,true,false,true,,false,true,112,2,16,8,14,7,156,34,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,9556d3c2e12f3ada3f04fd726be3eded6b814e252a58fba5b8d8d842db710038,contact_fires=0
36,fresh_recurrence_packing,8100000,3,reference,true,false,true,,true,false,46,2,12,6,2,1,59,17,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,19d2788e131cd82bb046dd472aaa133a3461fdb31032bd0b6ce2d52a59771822,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
36,fresh_recurrence_packing,8100000,3,production,true,false,true,,true,false,46,2,12,6,2,1,59,17,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,e00086b558c25f947ca7bb6bca9cb991968603503f4a997229232fcde1ee2fd7,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
37,learned_negative_stabilizes,8100000,4,reference,true,false,true,,true,false,46,2,12,6,2,1,59,18,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,0c6450960a7926eae73416b35f59f08c98513f0683967b180f993a524efd18bf,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
37,learned_negative_stabilizes,8100000,4,production,true,false,true,,true,false,46,2,12,6,2,1,59,18,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,ca70228aaab264dbf2aa69634e38d6989eec678bbafa983fca05e90886222cc4,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
