case_id,sections,profile,topology,phase,excitation_q32,excitation,inhibition_q32,inhibition,threshold,delay_ab,delay_ba,class,excite_a_fires,excite_b_fires,inhibitor_a_fires,inhibitor_b_fires,positive_incidences,relay_incidences,negative_incidences,first_firings,continuation_firings,period_firings,period_ticks,scheduled_deliveries,continuation_deliveries,physical_work,final_tick,pending,naturally_quiescent,first_ceiling,continuation_ceiling,initial_couplings,final_couplings,initial_resistances,final_resistances,trace_hash,continuation_trace_hash,body_hash,replay_exact,mechanics_exact,integrity_pass
7,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,8589934592,2,1,1,1,periodic,48,48,48,48,95,96,96,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294928641294336|4294928641294336|4294928641294336|4294928641294336|4294928641294336|4294928641294336,fe58fe82b59391301c56d56d1d018d118fe760aec9e1383e294fd182d008084e,1862aff20cd665ff3bdff24d62d70ce8c5003a2bf911677868c1464ff9453b62,39afc8d25536d4dc19c45a42d6b0d95ab8f11611877259b0b69881c77ff308ab,true,true,true
7,threshold_section,core_b,cycle,core0_phase,4294967296,1,8589934592,2,1,1,1,periodic,48,48,48,48,95,96,96,86,10,2,2,256,32,288,95,1,false,true,true,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688|4294926493810688,fe58fe82b59391301c56d56d1d018d118fe760aec9e1383e294fd182d008084e,1862aff20cd665ff3bdff24d62d70ce8c5003a2bf911677868c1464ff9453b62,39afc8d25536d4dc19c45a42d6b0d95ab8f11611877259b0b69881c77ff308ab,true,true,true
8,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,8589934592,2,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,6a849c3ab0419180967c7bf8076d827ab6b38078826f6caabe1337a82312692d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,06c8f41e1233d8ff1c0c4a8edba2cf54da5a0e75aa70214ff6b1e0d4f5c94b77,true,true,true
8,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,8589934592,2,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296|4294967296|4294967296|-8589934592|4294967296|-8589934592,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,6a849c3ab0419180967c7bf8076d827ab6b38078826f6caabe1337a82312692d,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,06c8f41e1233d8ff1c0c4a8edba2cf54da5a0e75aa70214ff6b1e0d4f5c94b77,true,true,true
9,threshold_section,core_b,cycle,core0_phase,4294967296,1,10737418240,2.5,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-10737418240|4294967296|-10737418240,4294967296|4294967296|4294967296|-10737418240|4294967296|-10737418240,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541,bfcd98eebcd24c62a0bc20f18c9ca94a51d9bf872f1deaa4ddaa4293254c8cbd,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,13233eac825882ba5b82573091d000c994e2ad6e8a2b94be199df41f41840911,true,true,true
10,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,10737418240,2.5,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-10737418240|4294967296|-10737418240,4294967296|4294967296|4294967296|-10737418240|4294967296|-10737418240,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,3c0208ed3d0402606dc82ff89ec06ae47d17179edaf449e083746fe5db3ebe77,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,cec557d638227a76043e4a3d9e7105db98e9910998d4564d37815cd8b6543cd9,true,true,true
11,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,12884901888,3,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,36796cf56101aabe596108376109e26b76f337c91212cda8a03186702fbfdb8c,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,86cbb8b4353d2d961f564b40430e0c1cc5a8ab0689515435f4a94e7314bb9dab,true,true,true
11,threshold_section,core_b,cycle,core0_phase,4294967296,1,12884901888,3,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541,36796cf56101aabe596108376109e26b76f337c91212cda8a03186702fbfdb8c,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,86cbb8b4353d2d961f564b40430e0c1cc5a8ab0689515435f4a94e7314bb9dab,true,true,true
12,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,12884901888,3,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,2a849f66a623dde5050f30f9d6f256f79686211df40ef0472ae1560c86c15f5f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,d8d6ba44aafb8bf67480fc36125fc5448628a9228f00986c7611981721657436,true,true,true
12,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,12884901888,3,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296|4294967296|4294967296|-12884901888|4294967296|-12884901888,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,2a849f66a623dde5050f30f9d6f256f79686211df40ef0472ae1560c86c15f5f,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,d8d6ba44aafb8bf67480fc36125fc5448628a9228f00986c7611981721657436,true,true,true
13,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,17179869184,4,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,126cf84b4f690a5f329d0bb7d919a2a322c8a3e4795793db5323ef4fa5c5a3bb,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,fd9b3ce8338abf34821766a21d4452a21577dd5c68875b9a3a87c49687572c88,true,true,true
13,threshold_section,core_b,cycle,core0_phase,4294967296,1,17179869184,4,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541,126cf84b4f690a5f329d0bb7d919a2a322c8a3e4795793db5323ef4fa5c5a3bb,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,fd9b3ce8338abf34821766a21d4452a21577dd5c68875b9a3a87c49687572c88,true,true,true
14,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,17179869184,4,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,cdb5235853c660ae728d4420ee9d2a710189207e5e8d91500a93bf9d6a435765,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cce264310b87d41a9bd4c652c4fa67539dbf10055d2b091131032cb2e7d18ee,true,true,true
14,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,17179869184,4,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296|4294967296|4294967296|-17179869184|4294967296|-17179869184,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,cdb5235853c660ae728d4420ee9d2a710189207e5e8d91500a93bf9d6a435765,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7cce264310b87d41a9bd4c652c4fa67539dbf10055d2b091131032cb2e7d18ee,true,true,true
15,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,34359738368,8,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,b8e4c5a8eee75cd86e04e45fbe87eeb19b0040c95ca3fa5beeabf916528e4c09,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f9f4440388a450e1fca93c2b2766c7d0369bc9f1d4f88bd7d303db60f55c25a9,true,true,true
15,threshold_section,core_b,cycle,core0_phase,4294967296,1,34359738368,8,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541,b8e4c5a8eee75cd86e04e45fbe87eeb19b0040c95ca3fa5beeabf916528e4c09,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,f9f4440388a450e1fca93c2b2766c7d0369bc9f1d4f88bd7d303db60f55c25a9,true,true,true
16,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,34359738368,8,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,aec5f4483b52f962033c1adc2fe5b82e37c7f0223e8bb188f5ae802c303d9921,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8d7aa547e950f9f80cbd1050d9a89c712994f5246d1f4215dcf3a8ec3ab17ce6,true,true,true
16,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,34359738368,8,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296|4294967296|4294967296|-34359738368|4294967296|-34359738368,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,aec5f4483b52f962033c1adc2fe5b82e37c7f0223e8bb188f5ae802c303d9921,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,8d7aa547e950f9f80cbd1050d9a89c712994f5246d1f4215dcf3a8ec3ab17ce6,true,true,true
17,threshold_section,rs1_style,cycle,core0_phase,4294967296,1,68719476736,16,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,0fa8f3dc09ba01684e5795cd776668b759259e9f49bf511c06d28ab77299f054,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,ed4281ad346e611d899bd93a7fb685d8015d90fa976c8bdc30432329e6eb24b2,true,true,true
17,threshold_section,core_b,cycle,core0_phase,4294967296,1,68719476736,16,1,1,1,quiescent,1,1,1,1,2,2,2,2,0,0,0,7,0,7,2,0,true,false,false,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541|4294966437006541,0fa8f3dc09ba01684e5795cd776668b759259e9f49bf511c06d28ab77299f054,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,ed4281ad346e611d899bd93a7fb685d8015d90fa976c8bdc30432329e6eb24b2,true,true,true
18,efficacy_plane,rs1_style,cycle,core0_phase,4294967296,1,68719476736,16,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,570e880457b3ce82e3e8d0f4d8acef2c30635d4a8f23050edd032097a882ace4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1ba4895777ab54f5cf291d5fa706be77f2ccac803c9439deeda72cea00ea5730,true,true,true
18,efficacy_plane,core_b,cycle,core0_phase,4294967296,1,68719476736,16,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296|4294967296|4294967296|-68719476736|4294967296|-68719476736,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,570e880457b3ce82e3e8d0f4d8acef2c30635d4a8f23050edd032097a882ace4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1ba4895777ab54f5cf291d5fa706be77f2ccac803c9439deeda72cea00ea5730,true,true,true
19,efficacy_plane,core_b,cycle,core0_phase,6442450944,1.5,0,0,2,1,1,quiescent,1,0,1,0,2,1,0,1,0,0,0,4,0,4,1,0,true,false,false,6442450944|6442450944|4294967296|0|4294967296|0,6442450944|6442450944|4294967296|0|4294967296|0,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,61f3b6d650a3e0349288f6bb191c78a1afecb43fe2c6ec524d407359f99ee914,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,545cf8fd6caf12e2cfae156405297a2710bb1411e71f50c9290a331c1e7c75a9,true,true,true
20,efficacy_plane,core_b,cycle,core0_phase,6442450944,1.5,4294967296,1,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,6442450944|6442450944|4294967296|-4294967296|4294967296|-4294967296,6442450944|6442450944|4294967296|-4294967296|4294967296|-4294967296,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,50d49f8294b85361551c037bf4845b311072348387f1231343e769c4cad926b2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,a99d3c0ad5e17292a1be2409838da426f13bd4a209fe8296b4b787f42a50841d,true,true,true
21,efficacy_plane,core_b,cycle,core0_phase,6442450944,1.5,6442450944,1.5,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,6442450944|6442450944|4294967296|-6442450944|4294967296|-6442450944,6442450944|6442450944|4294967296|-6442450944|4294967296|-6442450944,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,8a8a08b95d57e818b400b80e49a8296a94f59ebdcf6b06550f6db5331680a3ef,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,ddcc08f13dcc3427cc850f67e29f2ff19680133c9385c02e780baf9dc766177b,true,true,true
22,efficacy_plane,core_b,cycle,core0_phase,6442450944,1.5,8589934592,2,2,1,1,quiescent,1,0,1,0,1,1,1,1,0,0,0,4,0,4,1,0,true,false,false,6442450944|6442450944|4294967296|-8589934592|4294967296|-8589934592,6442450944|6442450944|4294967296|-8589934592|4294967296|-8589934592,4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000|4294967296000000,4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271|4294966866503271,46c19b84bf853d0a7e4c8abcf538428c712ae2677ca1371b227316326018f36e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,052f2cd2d860be5b0160444fb4159cbfd07720f68e4b5e6ace03e9695525258c,true,true,true
